group|name_fa|name_en|logo|url
اخبار فارسی|ایران اینترنشنال|Iran International|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/iraninternational.default.svg|https://live.livetvstream.co.uk/LS-63503-4/index.m3u8
اخبار فارسی|دژ|DEJ TV|https://www.parsatv.com/index_files/channels/dejtv.jpg|https://rdejhls.wns.live/hls/stream.m3u8
اخبار فارسی|ملی گرا|MelliG TV|https://www.parsatv.com/index_files/channels/melligtv.jpg|https://mellihls.wns.live/hls/stream.m3u8
اخبار فارسی|بی‌بی‌سی فارسی|BBC Persian|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/bbcpersian.default.svg|https://vs-hls-pushb-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_persian_tv/t=3840/v=pv14/b=5070016/main.m3u8
اخبار فارسی|منوتو|Manoto|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/manoto.default.svg|https://ca-rt.onetv.app/manototv/index-0.m3u8?token=onetv202
اخبار فارسی|صدای آمریکا|VOA Persian|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/voapersian.default.png|https://voa-ingest.akamaized.net/hls/live/2033876/tvmc07/playlist.m3u8
اخبار فارسی|رادیو فردا TV|Radio Farda TV|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/radiofarda.default.svg|https://rferl-ingest.akamaized.net/hls/live/2121768/tvmc01/playlist.m3u8
اخبار فارسی|پارس|Pars TV|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/parstv.default.svg|https://parshls.wns.live/hls/stream.m3u8
اخبار فارسی|میهن|Mihan TV|https://www.parsatv.com/index_files/channels/mihantv.jpg|https://iptv.mihantv.com/mihantv/playlist.m3u8
اخبار فارسی|کانال یک|Channel One|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/kanalyek.default.png|https://ca-rt.onetv.app:8443/ChannelOne/index-0.m3u8?token=onetv202
اخبار فارسی|ایران ملی Revolution|Revolution TV|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/irannationalrevolutiontv.default.png|https://hls.irannrtv.live/hls/stream.m3u8
اخبار فارسی|نوین|Novin TV|https://www.parsatv.com/index_files/channels/novintv.png|https://stream.novin.live/hls/playlist.m3u8
اخبار فارسی|ایران آریایی|Iran Aryaee|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/iranearyaee.default.png|https://oldkors-9u3p1.cfcross.workers.dev/?url=http://iranaryaee.icdndhcp.com/iranearyaeesd/index.m3u8
اخبار فارسی|ایران فردا|Irane Farda|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/iranefardatv.default.png|https://hls.iranfarda.live/hls/stream.m3u8
اخبار فارسی|ایران مستقل|Iran Independent|https://www.parsatv.com/index_files/channels/iranindependent.jpg|https://ca-rt.onetv.app/hls/iranindtv/index.m3u8?token=onetv202
اخبار فارسی|خبربین|Khabarbin TV|https://www.parsatv.com/index_files/channels/khabarbin.png|https://khbhls.wns.live/hls/stream.m3u8
اخبار فارسی|دیدگاه|Didgah TV|https://www.parsatv.com/index_files/channels/didgahtv.png|https://media.streambrothers.com:1936/8276/8276/playlist.m3u8
اخبار فارسی|اسرائیل پارس|Israel Pars TV|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/israelparstv.default.png|https://live.pars-israel.com/tmp_hls/iptv/index.m3u8
اخبار فارسی|کانال جدید|Kanal Jadid|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/kanaljadid.default.svg|https://kjhls.wns.live/hls/stream.m3u8
اخبار فارسی|زن TV|Woman TV|https://raw.githubusercontent.com/picons/picons/master/build-source/logos/zantv.default.svg|https://wmtvhls.wns.live/hls/stream.m3u8
